Num params:  62437601
cuda 68
Epoch 258 2024-05-09 18:17:22.653443 | step 000 Loss: 0.06131517142057419 
Epoch 259 2024-05-09 18:17:48.460891 | step 000 Loss: 0.06163296848535538 
Epoch 260 2024-05-09 18:18:14.263829 | step 000 Loss: 0.06286749243736267 
Epoch 261 2024-05-09 18:18:40.071433 | step 000 Loss: 0.06214814633131027 
Epoch 262 2024-05-09 18:19:05.882567 | step 000 Loss: 0.06107555329799652 
Epoch 263 2024-05-09 18:19:31.693363 | step 000 Loss: 0.06143564730882645 
Epoch 264 2024-05-09 18:19:57.504873 | step 000 Loss: 0.062212809920310974 
Epoch 265 2024-05-09 18:20:23.319438 | step 000 Loss: 0.06308700144290924 
Epoch 266 2024-05-09 18:20:49.130187 | step 000 Loss: 0.06097777187824249 
Epoch 267 2024-05-09 18:21:14.942987 | step 000 Loss: 0.06344695389270782 
Epoch 268 2024-05-09 18:21:40.753205 | step 000 Loss: 0.06393209099769592 
Epoch 269 2024-05-09 18:22:06.563650 | step 000 Loss: 0.06317062675952911 
Epoch 270 2024-05-09 18:22:32.381164 | step 000 Loss: 0.061258696019649506 
Epoch 271 2024-05-09 18:22:58.194458 | step 000 Loss: 0.0611162967979908 
Epoch 272 2024-05-09 18:23:24.005148 | step 000 Loss: 0.061024777591228485 
Epoch 273 2024-05-09 18:23:49.814782 | step 000 Loss: 0.06126154959201813 
Epoch 274 2024-05-09 18:24:15.628324 | step 000 Loss: 0.0605214424431324 
Epoch 275 2024-05-09 18:24:41.439416 | step 000 Loss: 0.06268192827701569 
Epoch 276 2024-05-09 18:25:07.254223 | step 000 Loss: 0.060244686901569366 
Epoch 277 2024-05-09 18:25:33.069533 | step 000 Loss: 0.06255939602851868 
Epoch 278 2024-05-09 18:25:58.881076 | step 000 Loss: 0.06316550076007843 
Epoch 279 2024-05-09 18:26:24.698590 | step 000 Loss: 0.060770340263843536 
Epoch 280 2024-05-09 18:26:50.517142 | step 000 Loss: 0.061999186873435974 
Epoch 281 2024-05-09 18:27:16.381295 | step 000 Loss: 0.062156904488801956 
Epoch 282 2024-05-09 18:27:42.200918 | step 000 Loss: 0.06289498507976532 
Epoch 283 2024-05-09 18:28:08.025152 | step 000 Loss: 0.06314480304718018 
Epoch 284 2024-05-09 18:28:35.556751 | step 000 Loss: 0.0604015588760376 
Epoch 285 2024-05-09 18:29:07.395562 | step 000 Loss: 0.060897182673215866 
Epoch 286 2024-05-09 18:29:39.208345 | step 000 Loss: 0.06244771182537079 
Epoch 287 2024-05-09 18:30:11.048627 | step 000 Loss: 0.06156544387340546 
Epoch 288 2024-05-09 18:30:42.892049 | step 000 Loss: 0.060953207314014435 
Epoch 289 2024-05-09 18:31:11.455202 | step 000 Loss: 0.06228995695710182 
Epoch 290 2024-05-09 18:31:37.320322 | step 000 Loss: 0.060570694506168365 
Epoch 291 2024-05-09 18:32:03.130593 | step 000 Loss: 0.061872534453868866 
Epoch 292 2024-05-09 18:32:28.945027 | step 000 Loss: 0.061173975467681885 
Epoch 293 2024-05-09 18:32:54.758603 | step 000 Loss: 0.06295649707317352 
Epoch 294 2024-05-09 18:33:20.577417 | step 000 Loss: 0.06068343669176102 
Epoch 295 2024-05-09 18:33:46.396475 | step 000 Loss: 0.06149407476186752 
Epoch 296 2024-05-09 18:34:12.214552 | step 000 Loss: 0.06130819767713547 
Epoch 297 2024-05-09 18:34:38.025608 | step 000 Loss: 0.06093604862689972 
Epoch 298 2024-05-09 18:35:03.841134 | step 000 Loss: 0.06128960847854614 
Epoch 299 2024-05-09 18:35:29.651105 | step 000 Loss: 0.06382235884666443 
Epoch 300 2024-05-09 18:35:55.459684 | step 000 Loss: 0.05947929248213768 
Epoch 301 2024-05-09 18:36:21.528374 | step 000 Loss: 0.06205940246582031 
Epoch 302 2024-05-09 18:36:47.342719 | step 000 Loss: 0.061127919703722 
Epoch 303 2024-05-09 18:37:13.158220 | step 000 Loss: 0.06176678091287613 
Epoch 304 2024-05-09 18:37:38.971119 | step 000 Loss: 0.0596175417304039 
Epoch 305 2024-05-09 18:38:04.779754 | step 000 Loss: 0.061308056116104126 
